combo,window,meta_threshold,primary_long,primary_short,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
m0.45_L0.38_S0.53,mar_2026_extension,0.45,0.38,0.53,30,-72.84491635225766,796.9045312790258,0.9693154908770817,0.4666666666666667,True
m0.45_L0.38_S0.53,apr_2026_partial,0.45,0.38,0.53,11,1447.7332805295375,196.4006436413183,5.940507974200717,0.7272727272727273,True
m0.45_L0.43_S0.43,dec_2025_bull,0.45,0.43,0.43,26,-585.4291434494492,906.4785798536905,0.6943648680561367,0.5,True
m0.45_L0.43_S0.43,jan_2026_regime_shift,0.45,0.43,0.43,42,300.4857708720973,557.6330468240703,1.1887064368098705,0.5476190476190477,True
m0.45_L0.43_S0.43,feb_2026_followthrough,0.45,0.43,0.43,42,756.3978178823988,557.0192434765995,1.3807785563058848,0.5476190476190477,True
m0.45_L0.43_S0.43,mar_2026_extension,0.45,0.43,0.43,39,-649.0501500986582,894.2267030480507,0.7960053238384467,0.46153846153846156,True
m0.45_L0.43_S0.43,apr_2026_partial,0.45,0.43,0.43,13,1009.1621282501599,301.99413521062525,2.682026986970583,0.5384615384615384,True
m0.45_L0.43_S0.48,dec_2025_bull,0.45,0.43,0.48,21,-573.5844659321058,922.3477687482373,0.6574856326316298,0.47619047619047616,True
m0.45_L0.43_S0.48,jan_2026_regime_shift,0.45,0.43,0.48,40,312.4635591156633,533.6729661310601,1.2155078199492189,0.55,True
m0.45_L0.43_S0.48,feb_2026_followthrough,0.45,0.43,0.48,40,1253.0721308573861,414.7828758200849,1.7641679212161043,0.6,True
m0.45_L0.43_S0.48,mar_2026_extension,0.45,0.43,0.48,32,-173.53636354310936,907.9732034305343,0.9355416324902208,0.46875,True
m0.45_L0.43_S0.48,apr_2026_partial,0.45,0.43,0.48,11,1208.567199415793,198.84231181915675,4.017172936515335,0.6363636363636364,True
m0.45_L0.43_S0.53,dec_2025_bull,0.45,0.43,0.53,17,101.61038618369895,554.9442652194048,1.1187844171981516,0.5294117647058824,True
m0.45_L0.43_S0.53,jan_2026_regime_shift,0.45,0.43,0.53,36,425.4114867349466,459.33055977345794,1.3550412360568693,0.5555555555555556,True
m0.45_L0.43_S0.53,feb_2026_followthrough,0.45,0.43,0.53,38,851.5924472739425,558.0640810232289,1.4864637055656809,0.5526315789473685,True
m0.45_L0.43_S0.53,mar_2026_extension,0.45,0.43,0.53,28,-96.40922128385947,796.9045312790258,0.9567788296585111,0.4642857142857143,True
m0.45_L0.43_S0.53,apr_2026_partial,0.45,0.43,0.53,10,1316.0967012644755,198.84231181915675,5.491287404153681,0.7,True
m0.5_L0.33_S0.43,dec_2025_bull,0.5,0.33,0.43,28,324.764495005031,474.57219514102326,1.2162674310817008,0.5,True
m0.5_L0.33_S0.43,jan_2026_regime_shift,0.5,0.33,0.43,45,903.8807633672188,440.82958221132867,1.6096588034000654,0.5777777777777777,True
m0.5_L0.33_S0.43,feb_2026_followthrough,0.5,0.33,0.43,43,209.59052173441574,582.452905221071,1.0943329182195276,0.5348837209302325,True
m0.5_L0.33_S0.43,mar_2026_extension,0.5,0.33,0.43,35,-653.9988828366575,1138.2423348540906,0.7816236031911996,0.4857142857142857,True
m0.5_L0.33_S0.43,apr_2026_partial,0.5,0.33,0.43,14,1125.8625539523823,299.5524670327868,2.855541047697925,0.5714285714285714,True
m0.5_L0.33_S0.48,dec_2025_bull,0.5,0.33,0.48,24,398.95652537206934,425.4017352999508,1.316416715581746,0.5,True
m0.5_L0.33_S0.48,jan_2026_regime_shift,0.5,0.33,0.48,43,889.6085516107847,324.628774608449,1.6510600217804146,0.5813953488372093,True
m0.5_L0.33_S0.48,feb_2026_followthrough,0.5,0.33,0.48,41,410.0148347094026,485.71034487869474,1.2028377516779865,0.5609756097560976,True
m0.5_L0.33_S0.48,mar_2026_extension,0.5,0.33,0.48,36,-313.7537584226775,966.3944821199184,0.8969125273871426,0.4722222222222222,True
m0.5_L0.33_S0.48,apr_2026_partial,0.5,0.33,0.48,13,1229.014377343852,210.57191033322306,3.4404322852266986,0.6153846153846154,True
m0.5_L0.33_S0.53,dec_2025_bull,0.5,0.33,0.53,21,599.874706142589,554.9442652194048,1.5951802259504706,0.5238095238095238,True
m0.5_L0.33_S0.53,jan_2026_regime_shift,0.5,0.33,0.53,39,1002.5564792300679,231.73966375180316,1.8993885616193964,0.5897435897435898,True
m0.5_L0.33_S0.53,feb_2026_followthrough,0.5,0.33,0.53,40,118.54515112595902,707.2401419015805,1.055597984658837,0.525,True
m0.5_L0.33_S0.53,mar_2026_extension,0.5,0.33,0.53,33,-45.21467515435617,966.3944821199184,0.9824881411883837,0.48484848484848486,True
m0.5_L0.33_S0.53,apr_2026_partial,0.5,0.33,0.53,12,1336.5438791925344,196.4006436413183,4.374465794467916,0.6666666666666666,True
m0.5_L0.38_S0.43,dec_2025_bull,0.5,0.38,0.43,26,-585.4291434494492,906.4785798536905,0.6943648680561367,0.5,True
m0.5_L0.38_S0.43,jan_2026_regime_shift,0.5,0.38,0.43,43,448.8434212922391,557.6330468240703,1.281875719012541,0.5581395348837209,True
m0.5_L0.38_S0.43,feb_2026_followthrough,0.5,0.38,0.43,43,732.3960417061686,482.2950515247867,1.3710369460636476,0.5581395348837209,True
m0.5_L0.38_S0.43,mar_2026_extension,0.5,0.38,0.43,40,-521.8561333445223,911.7639478046549,0.8380066478893191,0.475,True
m0.5_L0.38_S0.43,apr_2026_partial,0.5,0.38,0.43,14,1140.7987075152218,299.5524670327868,2.9014330393759105,0.5714285714285714,True
m0.5_L0.38_S0.48,dec_2025_bull,0.5,0.38,0.48,21,-573.5844659321058,922.3477687482373,0.6574856326316298,0.47619047619047616,True
m0.5_L0.38_S0.48,jan_2026_regime_shift,0.5,0.38,0.48,41,460.821209535805,531.3830468240703,1.317830900135981,0.5609756097560976,True
m0.5_L0.38_S0.48,feb_2026_followthrough,0.5,0.38,0.48,41,932.8203546811553,414.7828758200849,1.5259793256633711,0.5853658536585366,True
m0.5_L0.38_S0.48,mar_2026_extension,0.5,0.38,0.48,34,-149.97205861150758,907.9732034305343,0.9471113440987352,0.47058823529411764,True
m0.5_L0.38_S0.48,apr_2026_partial,0.5,0.38,0.48,12,1340.203778680855,196.4006436413183,4.3458020144896405,0.6666666666666666,True
m0.5_L0.38_S0.53,dec_2025_bull,0.5,0.38,0.53,17,101.61038618369895,554.9442652194048,1.1187844171981516,0.5294117647058824,True
m0.5_L0.38_S0.53,jan_2026_regime_shift,0.5,0.38,0.53,37,573.7691371550883,459.33055977345794,1.4788580233935924,0.5675675675675675,True
m0.5_L0.38_S0.53,feb_2026_followthrough,0.5,0.38,0.53,39,531.3406710977118,558.0640810232289,1.2819855036408743,0.5384615384615384,True
m0.5_L0.38_S0.53,mar_2026_extension,0.5,0.38,0.53,30,-72.84491635225766,796.9045312790258,0.9693154908770817,0.4666666666666667,True
m0.5_L0.38_S0.53,apr_2026_partial,0.5,0.38,0.53,11,1447.7332805295375,196.4006436413183,5.940507974200717,0.7272727272727273,True
m0.5_L0.43_S0.43,dec_2025_bull,0.5,0.43,0.43,26,-585.4291434494492,906.4785798536905,0.6943648680561367,0.5,True
m0.5_L0.43_S0.43,jan_2026_regime_shift,0.5,0.43,0.43,42,300.4857708720973,557.6330468240703,1.1887064368098705,0.5476190476190477,True
m0.5_L0.43_S0.43,feb_2026_followthrough,0.5,0.43,0.43,42,756.3978178823988,557.0192434765995,1.3807785563058848,0.5476190476190477,True
m0.5_L0.43_S0.43,mar_2026_extension,0.5,0.43,0.43,39,-649.0501500986582,894.2267030480507,0.7960053238384467,0.46153846153846156,True
m0.5_L0.43_S0.43,apr_2026_partial,0.5,0.43,0.43,13,1009.1621282501599,301.99413521062525,2.682026986970583,0.5384615384615384,True
m0.5_L0.43_S0.48,dec_2025_bull,0.5,0.43,0.48,21,-573.5844659321058,922.3477687482373,0.6574856326316298,0.47619047619047616,True
m0.5_L0.43_S0.48,jan_2026_regime_shift,0.5,0.43,0.48,40,312.4635591156633,533.6729661310601,1.2155078199492189,0.55,True
m0.5_L0.43_S0.48,feb_2026_followthrough,0.5,0.43,0.48,40,1253.0721308573861,414.7828758200849,1.7641679212161043,0.6,True
m0.5_L0.43_S0.48,mar_2026_extension,0.5,0.43,0.48,32,-173.53636354310936,907.9732034305343,0.9355416324902208,0.46875,True
m0.5_L0.43_S0.48,apr_2026_partial,0.5,0.43,0.48,11,1208.567199415793,198.84231181915675,4.017172936515335,0.6363636363636364,True
m0.5_L0.43_S0.53,dec_2025_bull,0.5,0.43,0.53,17,101.61038618369895,554.9442652194048,1.1187844171981516,0.5294117647058824,True
m0.5_L0.43_S0.53,jan_2026_regime_shift,0.5,0.43,0.53,36,425.4114867349466,459.33055977345794,1.3550412360568693,0.5555555555555556,True
m0.5_L0.43_S0.53,feb_2026_followthrough,0.5,0.43,0.53,38,851.5924472739425,558.0640810232289,1.4864637055656809,0.5526315789473685,True
m0.5_L0.43_S0.53,mar_2026_extension,0.5,0.43,0.53,28,-96.40922128385947,796.9045312790258,0.9567788296585111,0.4642857142857143,True
m0.5_L0.43_S0.53,apr_2026_partial,0.5,0.43,0.53,10,1316.0967012644755,198.84231181915675,5.491287404153681,0.7,True
