batch,exp_id,status,architecture,labeling_method,sample_weight,cv_method,calibration,feature_set,median_test_auc,median_train_auc,std_test_auc,median_pr_auc,median_brier,pct_signals_055,pct_signals_060,est_trades_per_day,train_test_gap,n_successful_folds,score_auc,score_signal_quality,score_calibration,score_stability,final_score
batch1,batch1_exp_00097,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline,0.5295842417863318,0.9090490196480979,0.02313665555019768,0.6210516694209617,0.24880905054254246,0.7374301675977654,0.6312849162011173,11.558669001751312,0.3858631531912596,5,0.5295842417863318,0.7374301675977654,0.7511909494574576,0.5443491874635812,0.637735855631712
batch1,batch1_exp_00107,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline,0.5295842417863318,0.9090490196480979,0.02313665555019768,0.6210516694209617,0.24880905054254246,0.7374301675977654,0.6312849162011173,11.558669001751312,0.3858631531912596,5,0.5295842417863318,0.7374301675977654,0.7511909494574576,0.5443491874635812,0.637735855631712
batch1,batch1_exp_00159,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline,0.5436145207626012,0.9025705233929118,0.07252753312337192,0.5570625369639663,0.25479311655652165,0.5399361022364217,0.3961661341853035,8.867512024486228,0.351247693199062,5,0.5436145207626012,0.5399361022364217,0.7452068834434784,0.17869182167165723,0.5463371978318284
batch1,batch1_exp_00113,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline,0.5436145207626012,0.9025705233929118,0.07252753312337192,0.5570625369639663,0.25479311655652165,0.5399361022364217,0.3961661341853035,8.867512024486228,0.351247693199062,5,0.5436145207626012,0.5399361022364217,0.7452068834434784,0.17869182167165723,0.5463371978318284
batch1,batch1_exp_00021,SUCCESS,trend_scanning,trend_scanning,uniqueness_decay,kfold,none,baseline_fracdiff,0.5335503488415476,0.8995447133311989,0.07121527162455117,0.5515174556403677,0.25578404145860895,0.5473908413205538,0.4057507987220447,8.989943156974203,0.34907363174048456,5,0.5335503488415476,0.5473908413205538,0.744215958541391,0.1819389242921802,0.5446744760702814
batch1,batch1_exp_00041,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline_fracdiff,0.5335503488415476,0.8995447133311989,0.07121527162455117,0.5515174556403677,0.25578404145860895,0.5473908413205538,0.4057507987220447,8.989943156974203,0.34907363174048456,5,0.5335503488415476,0.5473908413205538,0.744215958541391,0.1819389242921802,0.5446744760702814
batch1,batch1_exp_00093,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline_fracdiff,0.5335503488415476,0.8995447133311989,0.07121527162455117,0.5515174556403677,0.25578404145860895,0.5473908413205538,0.4057507987220447,8.989943156974203,0.34907363174048456,5,0.5335503488415476,0.5473908413205538,0.744215958541391,0.1819389242921802,0.5446744760702814
batch1,batch1_exp_00131,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline_fracdiff,0.5335503488415476,0.8995447133311989,0.07121527162455117,0.5515174556403677,0.25578404145860895,0.5473908413205538,0.4057507987220447,8.989943156974203,0.34907363174048456,5,0.5335503488415476,0.5473908413205538,0.744215958541391,0.1819389242921802,0.5446744760702814
batch1,batch1_exp_00045,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline_fracdiff,0.523627347480363,0.892706824145751,0.01526598005054137,0.4906473644202566,0.2584797300449292,0.33663366336633666,0.20242024202420242,5.444839857651245,0.3742917681256566,5,0.523627347480363,0.33663366336633666,0.7415202699550708,0.8077452939210482,0.5395196213851652
batch1,batch1_exp_00084,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness_decay,kfold,none,baseline_fracdiff,0.523627347480363,0.892706824145751,0.01526598005054137,0.4906473644202566,0.2584797300449292,0.33663366336633666,0.20242024202420242,5.444839857651245,0.3742917681256566,5,0.523627347480363,0.33663366336633666,0.7415202699550708,0.8077452939210482,0.5395196213851652
